iso2c	N	mean	sd	ID
.	12771	1.46362303208135	1.87172833422301	Total
BE	1583	1.1113221054646	1.25699846721498	BE
CH	43	1.35708259713799	1.2981687300296	CH
ES	348	1.14160510436089	1.33435287321208	ES
FR	166	1.12260128810932	0.966583437581608	FR
GB	3140	1.71102581285395	1.4606336185567	GB
IE	1902	1.23790413707679	1.34728093906992	IE
IL	101	1.19139881133904	1.153105965183	IL
IT	1182	0.935281504103881	0.779423243079032	IT
NL	3745	1.66901469355901	2.60870501178884	NL
PT	59	1.69472963723477	1.83003799458991	PT
SE	90	2.18736025553274	2.87224189632592	SE
TR	74	1.38746138335461	1.5841810065554	TR
US	338	2.03488025952881	2.78234515559462	US
